postAtSpecificTime (YYYY-MM-DD HH:mm:ss),content,link (OGmetaUrl),imageUrls,gifUrl,videoUrls
2023-01-17 07:30:00,"Read Biomass Magazine article about our 100% biomass biodegradable plastic to create a carbon free, sustainable society.",https://biomassmagazine.com/articles/18616/green-science-alliance-creates-100-biomass-biodegradable-plastic,https://assets.cdn.msgsndr.com/BcHYfSP4UN2wyUW7GcuV/media/63a4cf34408c0b019cfd175f.jpeg,,
2023-01-24 07:30:00,world's first! GS Alliance develops 100% natural biomass-based biodegradable plastic made from wood and stone itself using natural deep eutectic solvent,https://biosakura.com/news-articles,https://storage.googleapis.com/msgsndr/BcHYfSP4UN2wyUW7GcuV/media/63232a90a03022452a3d604b.jpeg,,
2023-01-30 07:30:00,Read the recently published article by our Dr. Ryohei Mori about replacing petroleum-based chemical products with natural biomass-based products.,https://pubs.rsc.org/en/content/articlelanding/2023/SU/D2SU00014H,https://pubs.rsc.org/en/Image/Get?imageInfo.ImageType=CoverIssue&imageInfo.ImageIdentifier.SerCode=SU,,
2023-02-06 07:30:00,"Development of Nano Cellulose in Various Type of Vegetable Oil, With 100 % Nature Biomass Composition",http://www.metalsnews.com/Metals+News/PRNewsWire/PR+News+Wire/MNNEWS1295455/Green+Science+Alliance+Co+Ltd+Developed+Nano+Cellulose+in+Various+Type+of+Vegetable+Oil+Such+as+Olive+Oil+With+100.htm,https://assets.cdn.msgsndr.com/BcHYfSP4UN2wyUW7GcuV/media/9ba1491d-ff9c-4631-9883-3dc947e35108.png,,
2023-02-13 07:30:00,GS Alliance succeeds in artificial photosynthesis using quantum dot-metal organic framework (MOF) composite,https://biosakura.com/news-articles,https://storage.googleapis.com/msgsndr/BcHYfSP4UN2wyUW7GcuV/media/63a25c94d2454b6ca826332b.jpeg,,
2023-02-21 07:30:00,"Biodegradable Resin Beads, Scrub to Replace Micro Plastic Beads and More...",https://markets.businessinsider.com/news/stocks/green-science-alliance-develops-biodegradable-resin-beads-scrub-to-replace-micro-plastic-beads-scrub-pollution-in-facial-wash-body-soap-tooth-paste-cosmetics-etc-1029112225,https://assets.cdn.msgsndr.com/BcHYfSP4UN2wyUW7GcuV/media/1230d174-1663-4730-a084-82a58bc5d74b.png,,
2023-02-27 07:30:00,GS Alliance develops PLA-based coating material with 100% natural biomass biodegradable composition,https://biosakura.com/news-articles,https://storage.googleapis.com/msgsndr/BcHYfSP4UN2wyUW7GcuV/media/632344aca03022188c3d7372.jpeg,,
2023-03-06 07:30:00,Green Science Alliance Succeeded in Artificial Photosynthesis,https://www.prnewswire.com/news-releases/green-science-alliance-succeeded-in-artificial-photosynthesis-with-quantum-dot---mof-composite-material-301522769.htmlews-releases/green-science-alliance-succeeded-in-artificial-photosynthesis-with-quantum-dot---mof-composite-material-301522769.html,https://assets.cdn.msgsndr.com/BcHYfSP4UN2wyUW7GcuV/media/63a3914364cc554c675e7234.jpeg,,
2023-03-13 07:30:00,"Green Science Alliance (Fuji Pigment Co., Ltd. Group) | [Decarbonization with the power of science] Cutting-edge chemical materials that change the world",https://biosakura.com/news-articles,https://lh3.googleusercontent.com/6fweYbD17cha7_FSzvhCg7kZjAIwfuOgViRENzlnfE4o4Fkzt-ple2prxUH3oyBrw3gFovcuYLlMCuTAuZMkqB1Ic1mNYeUV9DLFHXLzG4yYcYL8BIF7TB0suH5qR_apQ3jiC6VFISV9-2kaA4wwXVX35LMH9OKoaGRGWAaw57XpJBkgFABKtqLKjNX7qw,,
2023-03-20 07:30:00,"Green Science Alliance develops plant, UV light curable hard coat material",https://www.bioenergy-news.com/news/green-science-alliance-developed-plant-uv-light-curable-hard-coat-material/,https://assets.cdn.msgsndr.com/BcHYfSP4UN2wyUW7GcuV/media/63a3917864cc5547c45e726d.jpeg,,
2023-03-27 07:30:00,Green Science Alliance Developed Artificial Photosynthesis Textile Sheet to Make Formic Acid From CO2,https://www.yahoo.com/lifestyle/green-science-alliance-developed-artificial-133900948.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAKhCDbhpr6NNq2T5L8c4kFYnA3dH7eLGcz4zjdSK7tD5LDc68peHk7UIOEfUdIhvGjZUEIcQJ_HvSvClbZY3jZlNuWFNcMDwXTsVMoDy47RpyB7CQPIS05WFCDyHcQa3EQuxDWezvF0iT5zJv1e9LvbCPKvQGJ3x7A-vLT5jLHFq,https://assets.cdn.msgsndr.com/BcHYfSP4UN2wyUW7GcuV/media/09573536-af7e-403e-95c4-62eaf2a4992c.png,,
2023-04-03 07:30:00,"Check out Plastic Net Press release about Green Science Alliance Nano Cellulose And Biodegradable Resin Composite Material (100% Natural Biomass, No Petroleum)",https://www.plasticsnet.com/doc/green-science-alliance-co-ltd-has-production-with-injection-molding-machines-0001,https://assets.cdn.msgsndr.com/BcHYfSP4UN2wyUW7GcuV/media/63a3914364cc554c675e7234.jpeg,,
2023-04-10 07:30:00,Green Science Alliance licenses plastic recycling technology from Fukuoka University,https://www.nspackaging.com/news/green-science-alliance-plastic-recycling-technology/,https://assets.cdn.msgsndr.com/BcHYfSP4UN2wyUW7GcuV/media/63a4cfbd5aac1d4a31901e4f.jpeg,,
2023-04-17 07:30:00,BIOMASS NATURE DERIVED CELLULOSE BASE BIODEGRADABLE RESIN MATERIALS,https://ritzherald.com/green-science-alliance-co-ltd-developed-100-biomass-nature-derived-no-petroleum-cellulose-base-biodegradable-resin-materials/,https://assets.cdn.msgsndr.com/BcHYfSP4UN2wyUW7GcuV/media/63a4d153408c0b17b6fd1960.jpeg,,
2023-04-24 07:30:00,Dr. Mori Celebrated for Dedication in Industrial Research and Development,https://www.24-7pressrelease.com/press-release/481641/dr-ryohei-mori-celebrated-for-dedication-in-industrial-research-and-development,https://assets.cdn.msgsndr.com/BcHYfSP4UN2wyUW7GcuV/media/63a4d2b65aac1d53c7901f46.jpeg,,
2023-05-01 07:30:00,"World’s first biodegradable, ethical nail tips released In Japan",https://zenbird.media/worlds-first-biodegradable-ethical-nail-tips-released-in-japan/,https://assets.cdn.msgsndr.com/BcHYfSP4UN2wyUW7GcuV/media/62f93afb5198168b526d151f.jpeg,,
2023-05-08 07:30:00,Green Science Alliance Develops Eco-Friendly Nail Polish Formula,https://www.beautypackaging.com/issues/temp2022/view_breaking-news/green-science-alliance-develops-eco-friendly-nail-polish-formula/,https://assets.cdn.msgsndr.com/BcHYfSP4UN2wyUW7GcuV/media/62f93ae8992f757f9bb10769.jpeg,,
